"","new_cases_in_2020_April"
"Ahuntsic-Cartierville",1119
"Anjou",310
"Baie-D'Urfé",4
"Beaconsfield",18
"Côte-Saint-Luc",234
"Côte-des-Neiges-Notre-Dame-de-Grâce",1043
"Dollard-des-Ormeaux",166
"Dorval",85
"Hampstead",18
"Kirkland",45
"L'Île-Bizard-Sainte-Geneviève",69
"LaSalle",483
"Lachine",164
"Mercier-Hochelaga-Maisonneuve",952
"Mont-Royal",101
"Montréal-Est",17
"Montréal-Nord",1283
"Montréal-Ouest",8
"Outremont",133
"Pierrefonds-Roxboro",165
"Le Plateau-Mont-Royal",486
"Pointe-Claire",72
"Rivière-des-Prairies-Pointe-aux-Trembles",978
"Rosemont-La Petite-Patrie",680
"Saint-Laurent",469
"Saint-Léonard",562
"Sainte-Anne-de-Bellevue",8
"Senneville",2
"Le Sud-Ouest",507
"Verdun",577
"Ville-Marie",275
"Villeray-Saint-Michel-Parc-Extension",942
"Westmount",84
"L'Île-Dorval",0
